3,整租·紫荆嘉苑 2室1厅 南,1900,"['基本信息', '面积：70.88㎡', '朝向：南', '\xa0', '维护：1天前', '入住：随时入住', '\xa0', '楼层：中楼层/33层', '电梯：有', '\xa0', '车位：暂无数据', '用水：民水', '\xa0', '用电：民电', '燃气：有', '\xa0', '采暖：自采暖', '租期：暂无数据', '\xa0', '看房：需提前预约', '\xa0']","['洗衣机', '空调', '衣柜', '电视', '冰箱', '热水器', '床', '暖气', '宽带', '天然气']","{'付款方式 ': '季付', '租金 ': '1900', '押金 ': '1900', '服务费 ': '0', '中介费 ': '需咨询'}"
4,整租·祥和社区 2室1厅 南,1600,"['基本信息', '面积：56.50㎡', '朝向：南', '\xa0', '维护：6天前', '入住：随时入住', '\xa0', '楼层：中楼层/11层', '电梯：有', '\xa0', '车位：暂无数据', '用水：民水', '\xa0', '用电：民电', '燃气：有', '\xa0', '采暖：自采暖', '租期：暂无数据', '\xa0', '看房：需提前预约', '\xa0']","['洗衣机', '空调', '衣柜', '电视', '冰箱', '热水器', '床', '暖气', '宽带', '天然气']","{'付款方式 ': '季付', '租金 ': '1600', '押金 ': '1600', '服务费 ': '0', '中介费 ': '需咨询'}"
5,整租·万景国际 2室1厅 南,3200,"['基本信息', '面积：88.45㎡', '朝向：南', '\xa0', '维护：今天', '入住：随时入住', '\xa0', '楼层：中楼层/30层', '电梯：有', '\xa0', '车位：暂无数据', '用水：民水', '\xa0', '用电：民电', '燃气：无', '\xa0', '采暖：自采暖', '租期：1年以内', '\xa0', '看房：需提前预约', '\xa0']","['洗衣机', '空调', '衣柜', '电视', '冰箱', '热水器', '床', '暖气', '宽带', '天然气']","{'付款方式 ': '季付', '租金 ': '3200', '押金 ': '3200', '服务费 ': '0', '中介费 ': '需咨询'}"
6,整租·保利城三期 3室2厅 东南,2500,"['基本信息', '面积：92.17㎡', '朝向：东南', '\xa0', '维护：今天', '入住：随时入住', '\xa0', '楼层：高楼层/29层', '电梯：有', '\xa0', '车位：暂无数据', '用水：民水', '\xa0', '用电：民电', '燃气：有', '\xa0', '采暖：自采暖', '租期：暂无数据', '\xa0', '看房：需提前预约', '\xa0']","['洗衣机', '空调', '衣柜', '电视', '冰箱', '热水器', '床', '暖气', '宽带', '天然气']","{'付款方式 ': '季付', '租金 ': '2500', '押金 ': '2500', '服务费 ': '0', '中介费 ': '需咨询'}"
7,整租·农业银行宿舍 2室1厅 东,1800,"['基本信息', '面积：70.00㎡', '朝向：东', '\xa0', '维护：2天前', '入住：随时入住', '\xa0', '楼层：高楼层/8层', '电梯：无', '\xa0', '车位：暂无数据', '用水：暂无数据', '\xa0', '用电：暂无数据', '燃气：有', '\xa0', '采暖：自采暖', '租期：1年以内', '\xa0', '看房：需提前预约', '\xa0']","['洗衣机', '空调', '衣柜', '电视', '冰箱', '热水器', '床', '暖气', '宽带', '天然气']","{'付款方式 ': '季付', '租金 ': '1800', '押金 ': '1800', '服务费 ': '0', '中介费 ': '需咨询'}"
8,整租·晋合金桥世家 2室2厅 南,3300,"['基本信息', '面积：95.88㎡', '朝向：南', '\xa0', '维护：10天前', '入住：随时入住', '\xa0', '楼层：高楼层/33层', '电梯：有', '\xa0', '车位：暂无数据', '用水：民水', '\xa0', '用电：民电', '燃气：有', '\xa0', '采暖：自采暖', '租期：1年以内', '\xa0', '看房：需提前预约', '\xa0']","['洗衣机', '空调', '衣柜', '电视', '冰箱', '热水器', '床', '暖气', '宽带', '天然气']","{'付款方式 ': '季付', '租金 ': '3300', '押金 ': '3300', '服务费 ': '0', '中介费 ': '需咨询'}"
9,整租·星悦城华廷 3室2厅 南,2000,"['基本信息', '面积：92.97㎡', '朝向：南', '\xa0', '维护：5天前', '入住：随时入住', '\xa0', '楼层：低楼层/34层', '电梯：有', '\xa0', '车位：暂无数据', '用水：民水', '\xa0', '用电：民电', '燃气：有', '\xa0', '采暖：自采暖', '租期：暂无数据', '\xa0', '看房：需提前预约', '\xa0']","['洗衣机', '空调', '衣柜', '电视', '冰箱', '热水器', '床', '暖气', '宽带', '天然气']","{'付款方式 ': '季付', '租金 ': '2000', '押金 ': '2000', '服务费 ': '0', '中介费 ': '需咨询'}"
10,合租·福星惠誉东湖城二期 5居室 北卧,690,"['基本信息', '面积：7.65㎡', '朝向：北', '\xa0', '维护：1天前', '入住：随时入住', '\xa0', '楼层：3/32层', '电梯：有', '\xa0', '车位：租用车位', '用水：民水', '\xa0', '用电：民电', '燃气：有', '\xa0', '采暖：暂无数据', '租期：2~24个月', '咨询租期 \xa0', '看房：随时可看', '咨询看房 \xa0']","['洗衣机', '空调', '衣柜', '电视', '冰箱', '热水器', '床', '暖气', '宽带', '天然气']","{'付款方式 ': '月付', '租金 ': '724', '押金 ': '724', '服务费 ': '72.4', '中介费 ': '0'}"
11,整租·福星惠誉东湖城 3室1厅 南,2200,"['基本信息', '面积：82.29㎡', '朝向：南', '\xa0', '维护：2天前', '入住：随时入住', '\xa0', '楼层：高楼层/33层', '电梯：有', '\xa0', '车位：暂无数据', '用水：民水', '\xa0', '用电：民电', '燃气：有', '\xa0', '采暖：自采暖', '租期：暂无数据', '\xa0', '看房：需提前预约', '\xa0']","['洗衣机', '空调', '衣柜', '电视', '冰箱', '热水器', '床', '暖气', '宽带', '天然气']","{'付款方式 ': '需咨询', '租金 ': '2200', '押金 ': '2200', '服务费 ': '0', '中介费 ': '需咨询'}"
12,合租·楚天都市雅园 3居室 北卧,890,"['基本信息', '面积：8.00㎡', '朝向：北', '\xa0', '维护：今天', '入住：随时入住', '\xa0', '楼层：18/40层', '电梯：有', '\xa0', '车位：租用车位', '用水：民水', '\xa0', '用电：民电', '燃气：有', '\xa0', '采暖：暂无数据', '租期：1~2年', '咨询租期 \xa0', '看房：随时可看', '咨询看房 \xa0']","['洗衣机', '空调', '衣柜', '电视', '冰箱', '热水器', '床', '暖气', '宽带', '天然气']","{'付款方式 ': '月付', '租金 ': '934', '押金 ': '934', '服务费 ': '93.4', '中介费 ': '0'}"
13,整租·万科新世纪翡翠滨江三期 4室2厅 南,5000,"['基本信息', '面积：132.00㎡', '朝向：南', '\xa0', '维护：3天前', '入住：随时入住', '\xa0', '楼层：高楼层/25层', '电梯：有', '\xa0', '车位：暂无数据', '用水：民水', '\xa0', '用电：民电', '燃气：有', '\xa0', '采暖：暂无数据', '租期：1年以内', '\xa0', '看房：需提前预约', '\xa0']","['洗衣机', '空调', '衣柜', '电视', '冰箱', '热水器', '床', '暖气', '宽带', '天然气']","{'付款方式 ': '季付', '租金 ': '5000', '押金 ': '5000', '服务费 ': '0', '中介费 ': '需咨询'}"
14,合租·中建大公馆一期 4居室 南卧,1960,"['基本信息', '面积：16.50㎡', '朝向：南', '\xa0', '维护：3天前', '入住：2024-05-31', '\xa0', '楼层：42/48层', '电梯：有', '\xa0', '车位：租用车位', '用水：民水', '\xa0', '用电：民电', '燃气：有', '\xa0', '采暖：暂无数据', '租期：1年', '咨询租期 \xa0', '看房：需提前预约', '咨询看房 \xa0']","['洗衣机', '空调', '衣柜', '电视', '冰箱', '热水器', '床', '暖气', '宽带', '天然气']","{'付款方式 ': '月付', '租金 ': '2058', '押金 ': '2058', '服务费 ': '205.8', '中介费 ': '0'}"
15,合租·清江山水 3居室 南卧,1390,"['基本信息', '面积：12.90㎡', '朝向：南', '\xa0', '维护：今天', '入住：2024-06-08', '\xa0', '楼层：10/11层', '电梯：有', '\xa0', '车位：租用车位', '用水：民水', '\xa0', '用电：民电', '燃气：有', '\xa0', '采暖：暂无数据', '租期：1~2年', '咨询租期 \xa0', '看房：需提前预约', '咨询看房 \xa0']","['洗衣机', '空调', '衣柜', '电视', '冰箱', '热水器', '床', '暖气', '宽带', '天然气']","{'付款方式 ': '月付', '租金 ': '1459', '押金 ': '1459', '服务费 ': '145.9', '中介费 ': '0'}"
16,合租·金科城 4居室 西北卧,730,"['基本信息', '面积：8.02㎡', '朝向：西北', '\xa0', '维护：2天前', '入住：2024-06-01', '\xa0', '楼层：12/46层', '电梯：有', '\xa0', '车位：暂无数据', '用水：民水', '\xa0', '用电：民电', '燃气：有', '\xa0', '采暖：暂无数据', '租期：1~2年', '咨询租期 \xa0', '看房：需提前预约', '咨询看房 \xa0']","['洗衣机', '空调', '衣柜', '电视', '冰箱', '热水器', '床', '暖气', '宽带', '天然气']","{'付款方式 ': '月付', '租金 ': '766', '押金 ': '766', '服务费 ': '76.6', '中介费 ': '0'}"
17,合租·雅澜苑 4居室 南卧,1030,"['基本信息', '面积：11.70㎡', '朝向：南', '\xa0', '维护：今天', '入住：随时入住', '\xa0', '楼层：32/34层', '电梯：无', '\xa0', '车位：暂无数据', '用水：民水', '\xa0', '用电：民电', '燃气：有', '\xa0', '采暖：暂无数据', '租期：1~2年', '咨询租期 \xa0', '看房：随时可看', '咨询看房 \xa0']","['洗衣机', '空调', '衣柜', '电视', '冰箱', '热水器', '床', '暖气', '宽带', '天然气']","{'付款方式 ': '月付', '租金 ': '1081', '押金 ': '1081', '服务费 ': '108.1', '中介费 ': '0'}"
18,合租·新华明珠 5居室 西南卧,999,"['基本信息', '面积：8.00㎡', '朝向：西南', '\xa0', '维护：今天', '入住：随时入住', '\xa0', '楼层：10/30层', '电梯：有', '\xa0', '车位：暂无数据', '用水：民水', '\xa0', '用电：民电', '燃气：有', '\xa0', '采暖：暂无数据', '租期：2~12个月', '咨询租期 \xa0', '看房：随时可看', '咨询看房 \xa0']","['洗衣机', '空调', '衣柜', '电视', '冰箱', '热水器', '床', '暖气', '宽带', '天然气']","{'付款方式 ': '月付', '租金 ': '1049', '押金 ': '1049', '服务费 ': '104.9', '中介费 ': '0'}"
19,合租·狮城翰园 4居室 南卧,1090,"['基本信息', '面积：9.60㎡', '朝向：南', '\xa0', '维护：今天', '入住：随时入住', '\xa0', '楼层：4/23层', '电梯：有', '\xa0', '车位：租用车位', '用水：民水', '\xa0', '用电：民电', '燃气：有', '\xa0', '采暖：暂无数据', '租期：1~2年', '咨询租期 \xa0', '看房：随时可看', '咨询看房 \xa0']","['洗衣机', '空调', '衣柜', '电视', '冰箱', '热水器', '床', '暖气', '宽带', '天然气']","{'付款方式 ': '月付', '租金 ': '1144', '押金 ': '1144', '服务费 ': '114.4', '中介费 ': '0'}"
20,整租·万达御湖世家行政公馆 1室1厅 南,3900,"['基本信息', '面积：62.85㎡', '朝向：南', '\xa0', '维护：今天', '入住：2024-06-15', '\xa0', '楼层：低楼层/17层', '电梯：有', '\xa0', '车位：暂无数据', '用水：民水', '\xa0', '用电：民电', '燃气：有', '\xa0', '采暖：自采暖', '租期：暂无数据', '\xa0', '看房：随时可看', '\xa0']","['洗衣机', '空调', '衣柜', '电视', '冰箱', '热水器', '床', '暖气', '宽带', '天然气']","{'付款方式 ': '季付', '租金 ': '3900', '押金 ': '3900', '服务费 ': '需咨询', '中介费 ': '0'}"
21,整租·美联奥林匹克花园二期 2室1厅 南,2350,"['基本信息', '面积：61.41㎡', '朝向：南', '\xa0', '维护：今天', '入住：随时入住', '\xa0', '楼层：中楼层/33层', '电梯：有', '\xa0', '车位：暂无数据', '用水：民水', '\xa0', '用电：民电', '燃气：有', '\xa0', '采暖：自采暖', '租期：暂无数据', '\xa0', '看房：随时可看', '\xa0']","['洗衣机', '空调', '衣柜', '电视', '冰箱', '热水器', '床', '暖气', '宽带', '天然气']","{'付款方式 ': '季付', '租金 ': '2350', '押金 ': '2350', '服务费 ': '需咨询', '中介费 ': '0'}"
22,合租·泷悦华府 5居室 南卧,1230,"['基本信息', '面积：16.50㎡', '朝向：南', '\xa0', '维护：今天', '入住：随时入住', '\xa0', '楼层：3/5层', '电梯：无', '\xa0', '车位：租用车位', '用水：民水', '\xa0', '用电：民电', '燃气：有', '\xa0', '采暖：暂无数据', '租期：1~2年', '咨询租期 \xa0', '看房：随时可看', '咨询看房 \xa0']","['洗衣机', '空调', '衣柜', '电视', '冰箱', '热水器', '床', '暖气', '宽带', '天然气']","{'付款方式 ': '月付', '租金 ': '1291', '押金 ': '1291', '服务费 ': '129.1', '中介费 ': '0'}"
23,整租·阳光100大湖第 2室2厅 东南,1900,"['基本信息', '面积：67.73㎡', '朝向：东南', '\xa0', '维护：今天', '入住：随时入住', '\xa0', '楼层：中楼层/26层', '电梯：有', '\xa0', '车位：暂无数据', '用水：民水', '\xa0', '用电：民电', '燃气：有', '\xa0', '采暖：自采暖', '租期：暂无数据', '\xa0', '看房：随时可看', '\xa0']","['洗衣机', '空调', '衣柜', '电视', '冰箱', '热水器', '床', '暖气', '宽带', '天然气']","{'付款方式 ': '季付', '租金 ': '1900', '押金 ': '1900', '服务费 ': '需咨询', '中介费 ': '0'}"
24,合租·泷悦华府 4居室 南卧,1390,"['基本信息', '面积：12.50㎡', '朝向：南', '\xa0', '维护：1天前', '入住：随时入住', '\xa0', '楼层：41/44层', '电梯：有', '\xa0', '车位：租用车位', '用水：民水', '\xa0', '用电：民电', '燃气：有', '\xa0', '采暖：暂无数据', '租期：1~2年', '咨询租期 \xa0', '看房：随时可看', '咨询看房 \xa0']","['洗衣机', '空调', '衣柜', '电视', '冰箱', '热水器', '床', '暖气', '宽带', '天然气']","{'付款方式 ': '月付', '租金 ': '1459', '押金 ': '1459', '服务费 ': '145.9', '中介费 ': '0'}"
25,整租·城投瀚城 2室2厅 南,2700,"['基本信息', '面积：84.45㎡', '朝向：南', '\xa0', '维护：10天前', '入住：随时入住', '\xa0', '楼层：高楼层/11层', '电梯：有', '\xa0', '车位：暂无数据', '用水：民水', '\xa0', '用电：民电', '燃气：有', '\xa0', '采暖：自采暖', '租期：1年以内', '\xa0', '看房：需提前预约', '\xa0']","['洗衣机', '空调', '衣柜', '电视', '冰箱', '热水器', '床', '暖气', '宽带', '天然气']","{'付款方式 ': '季付', '租金 ': '2700', '押金 ': '2700', '服务费 ': '0', '中介费 ': '需咨询'}"
26,合租·万科城花璟苑 4居室 北卧,1060,"['基本信息', '面积：6.50㎡', '朝向：北', '\xa0', '维护：今天', '入住：随时入住', '\xa0', '楼层：33/34层', '电梯：有', '\xa0', '车位：租用车位', '用水：民水', '\xa0', '用电：民电', '燃气：有', '\xa0', '采暖：暂无数据', '租期：1年', '咨询租期 \xa0', '看房：随时可看', '咨询看房 \xa0']","['洗衣机', '空调', '衣柜', '电视', '冰箱', '热水器', '床', '暖气', '宽带', '天然气']","{'付款方式 ': '月付', '租金 ': '1113', '押金 ': '1113', '服务费 ': '111.3', '中介费 ': '0'}"
27,整租·宝业光谷丽都 2室1厅 南,900,"['基本信息', '面积：89.09㎡', '朝向：南', '\xa0', '维护：11天前', '入住：随时入住', '\xa0', '楼层：低楼层/33层', '电梯：有', '\xa0', '车位：暂无数据', '用水：民水', '\xa0', '用电：民电', '燃气：有', '\xa0', '采暖：暂无数据', '租期：1年以内', '\xa0', '看房：需提前预约', '\xa0']","['洗衣机', '空调', '衣柜', '电视', '冰箱', '热水器', '床', '暖气', '宽带', '天然气']","{'付款方式 ': '季付', '租金 ': '900', '押金 ': '900', '服务费 ': '0', '中介费 ': '需咨询'}"
