,所在地址,小区名称,总价格,单价,房屋基本信息,房屋交易属性信息,房屋特色
10,"['蔡甸', '蔡甸城区']",['锦绣星城'],['49'],['3707'],"{'房屋户型': '3室1厅1厨2卫', '所在楼层': '中楼层 (共7层)', '建筑面积': '132.21㎡', '户型结构': '平层', '套内面积': '120.15㎡', '建筑类型': '板楼', '房屋朝向': '南 北', '建筑结构': '混合结构', '装修情况': '其他', '梯户比例': '暂无数据', '配备电梯': '无', '楼层高度': '暂无数据'}","{'房屋户型': '3室1厅1厨2卫', '所在楼层': '中楼层 (共7层)', '建筑面积': '132.21㎡', '户型结构': '平层', '套内面积': '120.15㎡', '建筑类型': '板楼', '房屋朝向': '南 北', '建筑结构': '混合结构', '装修情况': '其他', '梯户比例': '暂无数据', '配备电梯': '无', '楼层高度': '暂无数据'}","{'核心卖点': '采光佳，户型通透，低公摊，看房方便', '小区介绍': '本小区位于莲花湖大道东侧。小区东边1000米（此数据来自百度地图）有中百仓储，建设银行，工商银行。蔡甸广场地铁口', '周边配套': '中百仓储 工商银行 建设银行 中国银行 蔡甸人民医院 蔡甸中医院 蔡甸妇幼医院 济和医院 庆龄幼儿园 蔡甸第六小'}"
11,"['洪山', '青山']",['林湖景苑小区'],['88'],['8721'],"{'房屋户型': '2室2厅1厨1卫', '所在楼层': '高楼层 (共32层)', '建筑面积': '100.91㎡', '户型结构': '平层', '套内面积': '76.25㎡', '建筑类型': '暂无数据', '房屋朝向': '南', '建筑结构': '框架结构', '装修情况': '毛坯', '梯户比例': '两梯四户', '配备电梯': '有', '楼层高度': '暂无数据'}","{'房屋户型': '2室2厅1厨1卫', '所在楼层': '高楼层 (共32层)', '建筑面积': '100.91㎡', '户型结构': '平层', '套内面积': '76.25㎡', '建筑类型': '暂无数据', '房屋朝向': '南', '建筑结构': '框架结构', '装修情况': '毛坯', '梯户比例': '两梯四户', '配备电梯': '有', '楼层高度': '暂无数据'}","{'核心卖点': '林湖景苑 东湖边 看东湖 诚心出售 全朝南 中间楼层 边户  急售', '适宜人群': '东侧 杨春湖医院三甲医院 西侧多个四S店 菜市场 25年育才系 北侧 26年开学 七一华源分校 4号线仁和地铁口780米 南侧 公园 及欢乐谷 东湖绿道 可以看东湖 配套齐全', '税费解析': '次XIN房是新证 首付 1.5% 契税 1%个税 5.3%的增值税', '周边配套': '往南1.2公里既是东湖欢乐谷，1.8公里既是东湖绿道，金地自带的35万方综合体金地广场，轨道交通4号线和12号线园林路双地铁口和仁和路4号线地铁口，最近的梨园医院4.2公里。（这里的距离都是百度地图实测）', '交通出行': '轨道交通4号线和12号线园林路双地铁口和仁和路4号线地铁口，开车约1公里上二环线，约2.5公里上三环线，可通达武汉三镇。南边就是欢乐谷玛雅海滩 孩子随时畅玩 东湖绿道随时去'}"
12,"['沌口开发区', '沌口']",['葛洲坝紫郡蘭园'],['103'],['9388'],"{'房屋户型': '3室1厅1厨1卫', '所在楼层': '中楼层 (共26层)', '建筑面积': '109.72㎡', '户型结构': '平层', '套内面积': '109.72㎡', '建筑类型': '板楼', '房屋朝向': '南', '建筑结构': '未知结构', '装修情况': '其他', '梯户比例': '暂无数据', '配备电梯': '暂无数据', '楼层高度': '暂无数据'}","{'房屋户型': '3室1厅1厨1卫', '所在楼层': '中楼层 (共26层)', '建筑面积': '109.72㎡', '户型结构': '平层', '套内面积': '109.72㎡', '建筑类型': '板楼', '房屋朝向': '南', '建筑结构': '未知结构', '装修情况': '其他', '梯户比例': '暂无数据', '配备电梯': '暂无数据', '楼层高度': '暂无数据'}","{'核心卖点': '6号线老关村/汉阳江边/清水毛坯/南北通/采光好/现房', '小区介绍': '房子是葛洲坝央企开发的，品质很不错，值得信赖！ 1、本楼建成于2020年 社区环境好. 2、小区的容积 率很小，属于低密度社区 ，很适宜居住. 3、小区的绿化 率高，让您感受花园一样的家.', '周边配套': '小区出门6号线地铁一站路江城大道-亚新总医院和经开永旺梦乐城。', '交通出行': '小区门口就是地铁6号线，还有地铁16号线，出门500米就可以上三环线，交通很方便！'}"
13,"['武昌', '杨园']",['安胜花园'],['115'],['13750'],"{'房屋户型': '2室1厅1厨1卫', '所在楼层': '低楼层 (共11层)', '建筑面积': '83.64㎡', '户型结构': '平层', '套内面积': '67.2㎡', '建筑类型': '板塔结合', '房屋朝向': '南 东南', '建筑结构': '钢混结构', '装修情况': '简装', '梯户比例': '两梯四户', '配备电梯': '有', '楼层高度': '暂无数据'}","{'房屋户型': '2室1厅1厨1卫', '所在楼层': '低楼层 (共11层)', '建筑面积': '83.64㎡', '户型结构': '平层', '套内面积': '67.2㎡', '建筑类型': '板塔结合', '房屋朝向': '南 东南', '建筑结构': '钢混结构', '装修情况': '简装', '梯户比例': '两梯四户', '配备电梯': '有', '楼层高度': '暂无数据'}","{'核心卖点': '安胜花园精装大二房，满两年，看房提前预约', '小区介绍': '安胜花园是06年建设的小区，小区整体地块有垫高，一楼设有私家车库，地下也有车位，小区环境优美，绿化面积大，小区总共六栋楼，其中两栋总高15层，余下四栋层高11层，小区整体采光好无遮挡，部分楼栋可以看江', '周边配套': '小区590米到中原医院，开车两公里到奥山商圈，5公里到众圆商圈，5公里到徐东商圈', '交通出行': '出门步行500米就是和平大道余家头公交车站，有511，514，807，717，549等公交车，直达武汉三镇，驾车也很方便，出门就是四车道国盛街，从出小区门上二环800米，向左上二环线直接可以过二七桥，向右走两公里上二桥'}"
14,"['蔡甸', '后官湖']",['后官湖庭'],['103'],['7312'],"{'房屋户型': '3室2厅1厨2卫', '所在楼层': '高楼层 (共18层)', '建筑面积': '140.88㎡', '户型结构': '平层', '套内面积': '暂无数据', '建筑类型': '平房', '房屋朝向': '南', '建筑结构': '钢混结构', '装修情况': '其他', '梯户比例': '两梯两户', '配备电梯': '有', '楼层高度': '暂无数据'}","{'房屋户型': '3室2厅1厨2卫', '所在楼层': '高楼层 (共18层)', '建筑面积': '140.88㎡', '户型结构': '平层', '套内面积': '暂无数据', '建筑类型': '平房', '房屋朝向': '南', '建筑结构': '钢混结构', '装修情况': '其他', '梯户比例': '两梯两户', '配备电梯': '有', '楼层高度': '暂无数据'}","{'核心卖点': '产权：满五唯一\n贷款：房东无贷款\n装修：自己住的装修', '户型介绍': '户型方正，通透性好，前后双阳台设计，全明户型，无暗房，每个房间都有窗户，光线好，明亮', '税费解析': '证满五年，且唯一住房，过户产生的税费少，目前就1%人税，1.5%税费，和80元登记费用', '权属抵押': '产权清晰，无抵押，随时可以办手续，方便简单，贷款全款都可以，方便购买方'}"
15,"['黄陂', '盘龙城']",['珑璟轩'],['84.5'],['8331'],"{'房屋户型': '3室2厅1厨2卫', '所在楼层': '中楼层 (共29层)', '建筑面积': '101.44㎡', '户型结构': '平层', '套内面积': '暂无数据', '建筑类型': '板楼', '房屋朝向': '南 北', '建筑结构': '钢混结构', '装修情况': '精装', '梯户比例': '两梯四户', '配备电梯': '有', '楼层高度': '暂无数据'}","{'房屋户型': '3室2厅1厨2卫', '所在楼层': '中楼层 (共29层)', '建筑面积': '101.44㎡', '户型结构': '平层', '套内面积': '暂无数据', '建筑类型': '板楼', '房屋朝向': '南 北', '建筑结构': '钢混结构', '装修情况': '精装', '梯户比例': '两梯四户', '配备电梯': '有', '楼层高度': '暂无数据'}","{'核心卖点': '地铁口精装边户三房，楼层采光好优选好房', '小区介绍': '踞盘龙城心，北临盘龙城主干道巨龙大道，连接武汉天河机场，西接露甲山路，南接汉口火车站，2.7号线巨龙大道站距离项目走路约200，2、7号线联通市区域，立体交通网纵横捭阖，四通八达。22万㎡的墅质社区，容 积 率仅1.6,低密度营造优良居住氛..', '装修描述': '此房是自己的婚房，装修拎包入住保养的很好，边户采光面充足，日照时间长，明亮舒适，', '交通出行': '299.229、291、298路公车至巨龙大道露甲山路可到项目，轨道交通，2.7号线巨龙大道站A出口'}"
16,"['江岸', '后湖']",['幸福时代四期'],['132'],['14840'],"{'房屋户型': '3室2厅1厨1卫', '所在楼层': '低楼层 (共34层)', '建筑面积': '88.95㎡', '户型结构': '平层', '套内面积': '暂无数据', '建筑类型': '板塔结合', '房屋朝向': '南', '建筑结构': '钢混结构', '装修情况': '精装', '梯户比例': '两梯四户', '配备电梯': '有', '楼层高度': '暂无数据'}","{'房屋户型': '3室2厅1厨1卫', '所在楼层': '低楼层 (共34层)', '建筑面积': '88.95㎡', '户型结构': '平层', '套内面积': '暂无数据', '建筑类型': '板塔结合', '房屋朝向': '南', '建筑结构': '钢混结构', '装修情况': '精装', '梯户比例': '两梯四户', '配备电梯': '有', '楼层高度': '暂无数据'}","{'核心卖点': '此房是老证，自住装修，全朝南户型，首付压力较小', '小区介绍': '该小区由武汉统建城市开发有限责任公司和百步亭集团两家颇具影响力的房地产企业联合组成的统建百步亭联合置业有限公司倾力打造。物业管理严谨，没有门禁卡不能随便出入，保安认真负责。让您住的安心。小区中间位置有健身场所，背后即是后湖公园文娱设施齐', '适宜人群': '本房是业主自住房，小桥流水，人文环境秀美 首付不高：贷款方式不限，适合首付不多的刚需客 家有老人：电梯房方便，配套齐全，百大生鲜菜市场，公园，距离医院1000米（数据来源于百度地图）', '交通出行': '距地铁21号线百步亭花园站810米（数据来自高德地图），距地铁三号线后湖大道站1公里（数据来自高德地图），公交508、516、620、,716、265到后湖大道百步亭花园路下车步行50米即到。'}"
17,"['硚口', '古田']",['融侨锦城'],['28.3'],['6606'],"{'房屋户型': '1室0厅1厨1卫', '所在楼层': '高楼层 (共15层)', '建筑面积': '42.84㎡', '户型结构': '平层', '套内面积': '暂无数据', '建筑类型': '板楼', '房屋朝向': '南', '建筑结构': '钢混结构', '装修情况': '简装', '梯户比例': '三梯十八户', '配备电梯': '有', '楼层高度': '暂无数据', '用水类型': '民水', '用电类型': '民电', '燃气价格': '2.53元/m3'}","{'房屋户型': '1室0厅1厨1卫', '所在楼层': '高楼层 (共15层)', '建筑面积': '42.84㎡', '户型结构': '平层', '套内面积': '暂无数据', '建筑类型': '板楼', '房屋朝向': '南', '建筑结构': '钢混结构', '装修情况': '简装', '梯户比例': '三梯十八户', '配备电梯': '有', '楼层高度': '暂无数据', '用水类型': '民水', '用电类型': '民电', '燃气价格': '2.53元/m3'}","{'核心卖点': '楼层好，视野开阔，采光充足，交通便利，设施齐全完备', '小区介绍': '拥有35.6的绿化环境堪称天然氧吧小区有专门到达的公交站上班便利有利于出行拥有着国家一级资质的融侨物业，自带天然气', '周边配套': '距离轻轨站古田三路316米，古田二路603米，古田四路1108米，门口距离311路，328路等231米，距离46路，259路等356米，311路等563米左转500米左右便是大型中百，和中小教育乐园，右转400米左右便是普爱医院交通便利，设施完备，浑然天成的全套服务'}"
18,"['沌口开发区', '沌口']",['金色港湾双湖林语'],['220'],['15332'],"{'房屋户型': '4室2厅1厨2卫', '所在楼层': '低楼层 (共34层)', '建筑面积': '143.5㎡', '户型结构': '平层', '套内面积': '暂无数据', '建筑类型': '板塔结合', '房屋朝向': '南', '建筑结构': '钢混结构', '装修情况': '精装', '梯户比例': '两梯四户', '配备电梯': '有', '楼层高度': '暂无数据'}","{'房屋户型': '4室2厅1厨2卫', '所在楼层': '低楼层 (共34层)', '建筑面积': '143.5㎡', '户型结构': '平层', '套内面积': '暂无数据', '建筑类型': '板塔结合', '房屋朝向': '南', '建筑结构': '钢混结构', '装修情况': '精装', '梯户比例': '两梯四户', '配备电梯': '有', '楼层高度': '暂无数据'}","{'核心卖点': '采光通风效果好，户型方正安静通透，三个房间带三个阳台的户型', '小区介绍': '：\n新民市场，中百仓储，永旺，协和医院，沌阳街新民社区卫生服务，环境优美，临湖而建，旁边就是太子湖公园，设有跑道、休闲座', '周边配套': '金色港湾双湖林语位于经济技术开发区芳草路与太子湖北路交汇处，由武汉新港美高房地产开发有限公司建成，总建筑面积200970㎡，总占地面积57535㎡，共计房屋1256户，小区由8栋高层组成，小区物业公司为武汉心港物业管理有限公司，3.1/平方米*月', '交通出行': '双地铁区距离地铁三号线，三角湖站800米，六号线有1.2公里。 门口有公交，出行方便小区人车分流 配套成熟'}"
19,"['东湖高新', '光谷东']",['中建东湖锦城'],['93'],['15707'],"{'房屋户型': '2室1厅1厨1卫', '所在楼层': '中楼层 (共34层)', '建筑面积': '59.21㎡', '户型结构': '平层', '套内面积': '暂无数据', '建筑类型': '板楼', '房屋朝向': '南', '建筑结构': '钢混结构', '装修情况': '精装', '梯户比例': '两梯六户', '配备电梯': '有', '楼层高度': '暂无数据'}","{'房屋户型': '2室1厅1厨1卫', '所在楼层': '中楼层 (共34层)', '建筑面积': '59.21㎡', '户型结构': '平层', '套内面积': '暂无数据', '建筑类型': '板楼', '房屋朝向': '南', '建筑结构': '钢混结构', '装修情况': '精装', '梯户比例': '两梯六户', '配备电梯': '有', '楼层高度': '暂无数据'}","{'核心卖点': '此房楼层好精装可拎包入住带露台满二', '小区介绍': '中建三局开发，中海物业，人车分流，小区环境好，很适合居家自住，不临主干道，安静舒适，适合三代人居家自住！！！', '周边配套': '购物：光谷天地、奥特莱斯、山姆会员（在建） 医院：光谷同济医院、光谷三医院、湖北省中医院'}"
