ID,type,type,coordinates,小区名,区域,户型,面积,朝向,装修风,楼层,房屋类,价格,备注,链接,properties.经纬度,properties.NEAR_FID,properties.NEAR_DIST,latitude,longitude
13,Feature,Point,"[114.34566174, 30.5391778912]",南苑村书院,水果湖,3室1厅,87平米,南,精装,低楼层(共7层),板楼,280万,南苑村书院 精装三房 中间楼层 基础配套齐全 拎包入住,https://wh.lianjia.com/ershoufang/104110834954.html,"114.345666,30.539075",112446,0.000102979298755,114.34566174,30.5391778912
14,Feature,Point,"[114.315738034, 30.6241900077]",佰昌公馆B区,堤角,3室1厅,89.95平米,南,精装,低楼层(共31层),板楼,139万,户型方正透气性能好诚意出售随时看小区环境好居住舒适,https://wh.lianjia.com/ershoufang/104110838212.html,"114.316156,30.625109",93809,0.00100957536842,114.315738034,30.6241900077
15,Feature,Point,"[114.390909306, 30.6302650114]",铁投江南御景,青山,3室1厅,90.57平米,东南,其他,中楼层(共32层),板楼,160万,次新小区，毛坯新房，满二税费少诚心出售,https://wh.lianjia.com/ershoufang/104110836767.html,"114.390774,30.630265",136925,0.000135305648326,114.390909306,30.6302650114
16,Feature,Point,"[114.31129091, 30.6440566754]",怡和苑北区,百步亭,3室2厅,134.63平米,南 北,简装,高楼层(共15层),板楼,240万,怡康旁 电梯三房 中高楼层视野好带车位诚售,https://wh.lianjia.com/ershoufang/104110857839.html,"114.310474,30.643716",88802,0.000885099811541,114.31129091,30.6440566754
17,Feature,Point,"[114.320163104, 30.3621014369]",宏德嘉园,纸坊,3室1厅,117.07平米,南 北,其他,中楼层(共6层),板楼,116万,宏德嘉园  三房两厅两卫  精装修  领包入住,https://wh.lianjia.com/ershoufang/104110843663.html,"114.319616,30.361795",96895,0.000627077635284,114.320163104,30.3621014369
18,Feature,Point,"[114.324372042, 30.4933502712]",新城璟棠,四新,3室2厅,119.13平米,南,精装,高楼层(共25层),板楼,193万,开发商精装，老证好楼层，采光好，南北朝向东边户。,https://wh.lianjia.com/ershoufang/104110867149.html,"114.324353,30.493276",100531,7.66733912913e-05,114.324372042,30.4933502712
19,Feature,Point,"[114.288205389, 30.4770536886]",喜瑞都,白沙洲,3室2厅,114.75平米,南,其他,低楼层(共34层),塔楼,180万,双地铁口 产证满二 南北双阳台 中间楼层,https://wh.lianjia.com/ershoufang/104110871215.html,"114.285215,30.477057",71558,0.00299039083371,114.288205389,30.4770536886
20,Feature,Point,"[114.216787574, 30.6047660666]",广电兰亭荣荟,古田,3室2厅,107.93平米,南 北,精装,高楼层(共33层),板楼,178万,0贝壳精选 广电荣荟一期 低密围合式园林 满五年,https://wh.lianjia.com/ershoufang/104110851942.html,"114.216785,30.604778",26465,1.22077896841e-05,114.216787574,30.6047660666
21,Feature,Point,"[114.245364252, 30.6326239186]",电建地产盛世江城,长港路,3室2厅,109.51平米,东南,精装,中楼层(共45层),板楼,275万,贝壳优选  双阳台正通透户型  前排钻石视野 诚心出售,https://wh.lianjia.com/ershoufang/104110874541.html,"114.245224,30.632579",38118,0.000147269494974,114.245364252,30.6326239186
22,Feature,Point,"[114.260836508, 30.5411868378]",复地翠微新城四期,钟家村,4室2厅,183.91平米,南 北,精装,中楼层(共6层),板楼,285万,翠微别墅，中层叠拼，08年30万精装修有暖气，品质好房,https://wh.lianjia.com/ershoufang/104110674723.html,"114.260901,30.541204",50840,6.67364905397e-05,114.260836508,30.5411868378
23,Feature,Point,"[114.34109641, 30.5844754486]",武汉科技大学宿舍,青山,3室2厅,97.98平米,南 北,简装,高楼层(共5层),板塔结合,145万,武科大青山校内已经解锁三房出售,https://wh.lianjia.com/ershoufang/104110775135.html,"114.341066,30.584526",110315,5.89930694201e-05,114.34109641,30.5844754486
24,Feature,Point,"[114.383398587, 30.6253789433]",八大家花園,青山,3室1厅,90.43平米,南,毛坯,中楼层(共33层),板塔结合,158万,此房是小三室，毛坯，采光好，交通方便,https://wh.lianjia.com/ershoufang/104110789205.html,"114.383405,30.625143",132963,0.000236030476975,114.383398587,30.6253789433
25,Feature,Point,"[114.172468257, 30.6577710238]",万科四季花城西半岛,金银湖,3室1厅,84.87平米,东南 南,简装,中楼层(共11层),板楼,80万,精装修保养好3房，采光充足，拎包入住，老证诚心卖,https://wh.lianjia.com/ershoufang/104110793239.html,"114.172509,30.656992",13522,0.000780088515534,114.172468257,30.6577710238
26,Feature,Point,"[114.202852818, 30.5513298361]",汉阳人信汇二期天悦,王家湾,3室2厅,90.09平米,南,其他,高楼层(共34层),板塔结合,162万,老证新装修带车位，高楼层视野好，急售,https://wh.lianjia.com/ershoufang/104110854332.html,"114.202234,30.551589",21042,0.000670896531056,114.202852818,30.5513298361
27,Feature,Point,"[114.447960006, 30.5045894549]",葛洲坝世纪花园一期,华科大,4室2厅,148.57平米,南 北,精装,中楼层(共18层),板楼,280万,创业街葛洲坝一期精装四房，南北通透,https://wh.lianjia.com/ershoufang/104110776836.html,"114.447976,30.504554",164077,3.88956872321e-05,114.447960006,30.5045894549
28,Feature,Point,"[114.215424751, 30.6373333133]",银湖翡翠一期,金银湖,4室2厅,160.65平米,东南,毛坯,中楼层(共16层),板楼,180万,银湖翡翠 大四房  证满唯一  税少 湖景,https://wh.lianjia.com/ershoufang/104110820444.html,"114.215086,30.637336",25394,0.000338761654204,114.215424751,30.6373333133
29,Feature,Point,"[114.337222735, 30.6633999561]",幸福湾星润,堤角,2室2厅,89.91平米,东南,精装,中楼层(共32层),板楼,128万,幸福湾星润精装修，老证，无抵押，1号线地铁口,https://wh.lianjia.com/ershoufang/104110791598.html,"114.337130,30.663350",106050,0.00010533453974,114.337222735,30.6633999561
30,Feature,Point,"[114.15101882, 30.6482364826]",金山银湖湾,金银湖,3室2厅,112.48平米,南 北,简装,中楼层(共11层),板楼,88万,难得的户型，难得的价格，错过再无。,https://wh.lianjia.com/ershoufang/104110818558.html,"114.152231,30.651823",8873,0.00378582711708,114.15101882,30.6482364826
31,Feature,Point,"[114.289815832, 30.4778185489]",佳兆业金域天下二期,白沙洲,2室1厅,77.74平米,南 北,精装,中楼层(共32层),板楼,135万,佳兆业金域天下精装2房 业主诚心出售,https://wh.lianjia.com/ershoufang/104110846069.html,"114.289820,30.480577",71549,0.00275845422852,114.289815832,30.4778185489
32,Feature,Point,"[114.197543677, 30.6368304752]",金湖湾,金银湖,2室1厅,89.05平米,南,简装,低楼层(共33层),板楼,110万,房东急卖。随时看房。湖景好视野开阔,https://wh.lianjia.com/ershoufang/104110861878.html,"114.196711,30.635771",19957,0.00134753058821,114.197543677,30.6368304752
33,Feature,Point,"[114.437901173, 30.5039549142]",现代森林花园,华科大,3室1厅,113.33平米,南 北,精装,中楼层(共11层),板楼,200万,房子产证满2，税费低，中间楼层，公摊少，精装修,https://wh.lianjia.com/ershoufang/104110788955.html,"114.438086,30.504278",162035,0.000372216944832,114.437901173,30.5039549142
34,Feature,Point,"[114.258414982, 30.6292795352]",常青二垸,杨汊湖,2室1厅,57.78平米,南 北,简装,中楼层(共6层),板楼,69万,中间楼层小户型 总价低 无贷款,https://wh.lianjia.com/ershoufang/104110818169.html,"114.258433,30.629338",47974,6.11782735186e-05,114.258414982,30.6292795352
35,Feature,Point,"[114.433604615, 30.4435161484]",金地艺境,金融港,4室1厅,122.48平米,南,精装,高楼层(共30层),板楼,278万,金地艺境 4室1厅 南,https://wh.lianjia.com/ershoufang/104110834617.html,"114.435296,30.443532",160101,0.00169145927853,114.433604615,30.4435161484
36,Feature,Point,"[114.522730519, 30.5882205201]",万科花山紫悦湾,光谷东,3室2厅,88.61平米,南,精装,中楼层(共28层),板楼,134万,品质楼盘，刚需三房，产证满二，精装修,https://wh.lianjia.com/ershoufang/104110819087.html,"114.494876,30.559221",165394,0.0402100285348,114.522730519,30.5882205201
37,Feature,Point,"[114.529628638, 30.4813618743]",朗诗里程,光谷东,2室2厅,70.13平米,南,精装,中楼层(共34层),板楼,138万,满二好楼层，自主装修，采光视野好，不靠马路,https://wh.lianjia.com/ershoufang/104110806494.html,"114.518202,30.479449",165424,0.0115856438781,114.529628638,30.4813618743
38,Feature,Point,"[114.372549944, 30.4587095168]",天祥尚府,三环南,2室2厅,89.37平米,南,精装,高楼层(共34层),板楼,169万,此房产证满二，中高楼层，采光好，诚心出售,https://wh.lianjia.com/ershoufang/104110835793.html,"114.373035,30.457153",128510,0.00163034470953,114.372549944,30.4587095168
39,Feature,Point,"[114.25060233, 30.634699442]",福星华府誉境,杨汊湖,3室1厅,130.36平米,南 北,毛坯,低楼层(共44层),板楼,219万,6号线，毛坯大三房，不吵！！带车位，老证诚心出售,https://wh.lianjia.com/ershoufang/104110823647.html,"114.250497,30.634566",42353,0.000170003459607,114.25060233,30.634699442
40,Feature,Point,"[114.25060233, 30.634699442]",福星华府,杨汊湖,2室1厅,90.24平米,东南,精装,中楼层(共55层),板楼,148万,福星华府  中间楼层两房 业主诚心出售,https://wh.lianjia.com/ershoufang/104110852725.html,"114.250497,30.634566",42353,0.000170003459607,114.25060233,30.634699442
41,Feature,Point,"[114.422557322, 30.3928739998]",瑞和华府,藏龙岛,3室2厅,88.09平米,西南,精装,中楼层(共24层),板楼,85万,江夏藏龙岛湿地公园精装小三房 满五唯一 随时看,https://wh.lianjia.com/ershoufang/104110859569.html,"114.424653,30.393663",154858,0.00223928283047,114.422557322,30.3928739998
42,Feature,Point,"[114.301467565, 30.6407896669]",盛世东方,后湖,3室2厅,121平米,南,精装,高楼层(共18层),板楼,248万,【贝壳真房源】直通透方正三房，精装采光好，诚心出售,https://wh.lianjia.com/ershoufang/104110833732.html,"114.302299,30.640167",79216,0.00103874839486,114.301467565,30.6407896669
43,Feature,Point,"[114.421998298, 30.6413091666]",绿地香树花城派克公馆,青山,3室2厅,121.31平米,南,精装,高楼层(共34层),板楼,168万,地铁口 绿地香树花城派克公馆 奢华装修 婚房 拎包入住,https://wh.lianjia.com/ershoufang/104110824383.html,"114.423437,30.641253",153799,0.00143979794808,114.421998298,30.6413091666
44,Feature,Point,"[114.416287, 30.405538]",保利清能西海岸北区,藏龙岛,3室2厅,88.23平米,东南,精装,中楼层(共27层),板楼,117万,保利清能西海岸三房婚房装修满二中间楼层诚心急售,https://wh.lianjia.com/ershoufang/104110871445.html,"114.416287,30.405538",151625,0.0,114.416287,30.405538
45,Feature,Point,"[114.324192, 30.499068]",南湖名都A区,南湖沃尔玛,1室1厅,56.48平米,南,精装,低楼层(共17层),塔楼,95万,急售，南湖商圈  地铁口小户型  满二,https://wh.lianjia.com/ershoufang/104110846987.html,"114.324192,30.499068",100435,0.0,114.324192,30.499068
46,Feature,Point,"[114.419891283, 30.6481660226]",青康居,青山,2室1厅,70.99平米,南,毛坯,中楼层(共16层),塔楼,72万,位置楼层好，配套方便，业主急售，看中价可谈,https://wh.lianjia.com/ershoufang/104110842951.html,"114.419635,30.648166",153712,0.000256283240175,114.419891283,30.6481660226
47,Feature,Point,"[114.179309113, 30.5215927995]",金色港湾四期,沌口,3室1厅,125.5平米,南 北,精装,高楼层(共11层),板楼,138.5万,难得电梯洋房 安静不吵 南北通透 临湖 公摊小,https://wh.lianjia.com/ershoufang/104110837889.html,"114.179920,30.521344",15312,0.000659609064502,114.179309113,30.5215927995
48,Feature,Point,"[114.240069107, 30.6554046269]",美联奥林匹克花园五期,常青花园,4室1厅,137.79平米,东南,毛坯,中楼层(共33层),板楼,193万,【店长推荐】老证，次新房，地铁口，采光好，急卖,https://wh.lianjia.com/ershoufang/104110871943.html,"114.236190,30.658161",34608,0.00475868298843,114.240069107,30.6554046269
49,Feature,Point,"[114.247351595, 30.618345464]",福星城南区,长港路,3室2厅,96.85平米,南,精装,39层,板楼,165万,总监优选房源，几乎没住，精装三房,https://wh.lianjia.com/ershoufang/104110782553.html,"114.247347,30.618360",40419,1.52450384695e-05,114.247351595,30.618345464
50,Feature,Point,"[114.190390246, 30.5418945677]",保利香颂二期,王家湾,3室2厅,110.15平米,西南,精装,高楼层(共33层),板楼,199万,保利二期高层边户，老证精装未住人，房东诚心卖！,https://wh.lianjia.com/ershoufang/104110855577.html,"114.190391,30.541896",18234,1.61883100457e-06,114.190390246,30.5418945677
51,Feature,Point,"[114.28099, 30.622276]",五洲大厦,唐家墩,3室2厅,140.14平米,东南,简装,高楼层(共20层),塔楼,139万,正二环双地铁电梯房 价格很实惠  采光好  朝向好,https://wh.lianjia.com/ershoufang/104110812812.html,"114.280990,30.622276",63038,0.0,114.28099,30.622276
52,Feature,Point,"[114.293222548, 30.4554951765]",东原湖光里,黄家湖,3室2厅,103平米,南,精装,中楼层(共11层),板楼,155万,精装小洋房  拎包入住    满二,https://wh.lianjia.com/ershoufang/104110823589.html,"114.297917,30.453683",74289,0.00503208339037,114.293222548,30.4554951765
53,Feature,Point,"[114.313416, 30.644838]",怡康苑北区,百步亭,3室2厅,104.56平米,南 北,精装,中楼层(共6层),板楼,165万,怡康苑北区  中间楼层  采光好 通透户型,https://wh.lianjia.com/ershoufang/104110798741.html,"114.313416,30.644838",91337,0.0,114.313416,30.644838
54,Feature,Point,"[114.331444432, 30.5835899231]",德雅国际城,阳逻,3室2厅,112.14平米,南,毛坯,高楼层(共26层),板楼,75万,学府旁，万科物业，人车分流，双阳台，环境优美地段好,https://wh.lianjia.com/ershoufang/104110821819.html,"114.331585,30.583591",103033,0.000140572125029,114.331444432,30.5835899231
55,Feature,Point,"[114.529628638, 30.4813618743]",朗诗里程,光谷东,3室2厅,83.97平米,南,精装,中楼层(共32层),板楼,164万,光谷东朗诗小三房，满二没住过人诚心出售。,https://wh.lianjia.com/ershoufang/104110841499.html,"114.518202,30.479449",165424,0.0115856438781,114.529628638,30.4813618743
56,Feature,Point,"[114.25974254, 30.480975109]",万科金色城市23地块,白沙洲,3室1厅,90.15平米,东南,精装,低楼层(共17层),板楼,114.5万,房子格局好，户型通风，位置好。满二，诚心出售,https://wh.lianjia.com/ershoufang/104110847801.html,"114.259821,30.481104",49447,0.000150893622155,114.25974254,30.480975109
57,Feature,Point,"[114.195610395, 30.6017280521]",汉口人家,古田,4室2厅,129.45平米,南 北,精装,中楼层(共6层),板楼,135万,老证税费低，公摊小，中间楼栋，精装修，适合居住。,https://wh.lianjia.com/ershoufang/104110852220.html,"114.195613,30.601721",19275,7.51786570047e-06,114.195610395,30.6017280521
58,Feature,Point,"[114.443781, 30.506015]",新世界恒大华府,华科大,3室2厅,137.44平米,南 北,精装,中楼层(共28层),板塔结合,320万,房子是自住精装，保养的很好，业主诚心卖，满五唯一,https://wh.lianjia.com/ershoufang/104110844331.html,"114.443781,30.506015",163410,0.0,114.443781,30.506015
59,Feature,Point,"[114.336975408, 30.4838197092]",金地西岸故事,珞狮南路,2室2厅,88.07平米,南,简装,中楼层(共33层),板塔结合,155万,中高楼层，南向视野无遮挡，居家装修，满五唯一少税费,https://wh.lianjia.com/ershoufang/104110865873.html,"114.336978,30.483777",107746,4.27877909189e-05,114.336975408,30.4838197092
60,Feature,Point,"[114.259449752, 30.4814190233]",万科金色城市20地块,白沙洲,3室2厅,92.58平米,东南,精装,高楼层(共28层),板楼,145万,万科精装高楼层三房，地铁口，江滩边，华师附属,https://wh.lianjia.com/ershoufang/104110850314.html,"114.259449,30.481420",49447,1.23294722405e-06,114.259449752,30.4814190233
61,Feature,Point,"[114.301467565, 30.6407896669]",盛世东方,后湖,3室2厅,119.55平米,南,精装,高楼层(共18层),板塔结合,230万,【贝壳真房源】通透三房，价格便宜，产权清晰,https://wh.lianjia.com/ershoufang/104110864822.html,"114.302299,30.640167",79216,0.00103874839486,114.301467565,30.6407896669
62,Feature,Point,"[114.217540943, 30.5278204485]",太子水榭,四新,3室2厅,128.69平米,南 北,简装,低楼层(共6层),板楼,132万,汉阳四新太子水榭少有精装边户三房两卫老证出售,https://wh.lianjia.com/ershoufang/104110843158.html,"114.218575,30.527786",27221,0.00103463064828,114.217540943,30.5278204485
63,Feature,Point,"[114.445540995, 30.4788295257]",佳源花都二期,光谷东,5室2厅,166.57平米,南,简装,高楼层(共6层),板楼,148万,光谷黄龙山公园 露台 复式 满五 采光好 诚售,https://wh.lianjia.com/ershoufang/104110751821.html,"114.446163,30.476578",163792,0.00233586348011,114.445540995,30.4788295257
64,Feature,Point,"[114.122304322, 30.5196950642]",人信千年美丽,中法生态城,3室1厅,124.01平米,东南,精装,中楼层(共5层),板楼,73.5万,精装三房，中间楼层采光充足，随时看房，老证税费低,https://wh.lianjia.com/ershoufang/104110651713.html,"114.113883,30.514878",3917,0.00970168911769,114.122304322,30.5196950642
65,Feature,Point,"[114.208130465, 30.5764949109]",万科新世纪翡翠滨江K2,王家湾,3室2厅,118.55平米,南 北,精装,高楼层(共57层),板塔结合,236万,万科翡翠滨江K2，三室两厅两卫，南北通透，精装修,https://wh.lianjia.com/ershoufang/104110733494.html,"114.208931,30.574978",22955,0.00171518948366,114.208130465,30.5764949109
66,Feature,Point,"[114.385322789, 30.4671228616]",锦绣龙城,民族大道,3室2厅,78.03平米,南,精装,中楼层(共32层),板塔结合,152万,锦绣龙城  高区视野光线好 F区小三房 满五 拎包入住,https://wh.lianjia.com/ershoufang/104110754553.html,"114.386491,30.466529",135127,0.00131049171684,114.385322789,30.4671228616
67,Feature,Point,"[114.337692366, 30.6727435489]",幸福湾星澜,堤角,3室2厅,113.34平米,南 北,精装,中楼层(共33层),板楼,182万,老证楼层适中诚心售房看房方便精装拎包入住,https://wh.lianjia.com/ershoufang/104110742264.html,"114.337964,30.671479",107930,0.00129339435233,114.337692366,30.6727435489
68,Feature,Point,"[114.290520616, 30.4725851577]",东原启城一期,白沙洲,4室2厅,138.01平米,南,毛坯,中楼层(共47层),塔楼,217万,5号线，业主急售，中间楼层，毛坯，全明格局采光充足,https://wh.lianjia.com/ershoufang/104110702913.html,"114.291894,30.468955",71578,0.00388126635763,114.290520616,30.4725851577
69,Feature,Point,"[114.424223821, 30.5106525373]",虹景花园,华科大,4室2厅,153.41平米,东 西,精装,6层,板楼,285万,别墅区内低密度，公摊小，小区物业管理严格,https://wh.lianjia.com/ershoufang/104110698021.html,"114.423804,30.511076",156023,0.00059629718284,114.424223821,30.5106525373
70,Feature,Point,"[114.418552149, 30.4778450914]",绿地国际理想城三期,光谷南,3室2厅,97.64平米,南 北,毛坯,中楼层(共33层),板楼,189万,品质小区，人车分流，大三房，动静分区，居家改善皆宜,https://wh.lianjia.com/ershoufang/104110752193.html,"114.416877,30.473499",153188,0.00465774995361,114.418552149,30.4778450914
71,Feature,Point,"[114.385322789, 30.4671228616]",锦绣龙城,民族大道,3室2厅,125.95平米,南 北,精装,低楼层(共24层),塔楼,188万,锦绣龙城H区三居室 附带10㎡书房，小区中间位置  满五,https://wh.lianjia.com/ershoufang/104110718802.html,"114.386491,30.466529",135127,0.00131049171684,114.385322789,30.4671228616
72,Feature,Point,"[114.328502245, 30.4966613756]",金地格林小城梦茵区,南湖沃尔玛,4室2厅,133.98平米,南 北,精装,中楼层(共17层),板楼,308万,经典3+1 南北朝向 视野采光好 满五 有地下车位 上英格,https://wh.lianjia.com/ershoufang/104110757162.html,"114.328526,30.496757",102126,9.85309137607e-05,114.328502245,30.4966613756
73,Feature,Point,"[114.400276, 30.622299]",冶金108街坊,青山,2室1厅,68.76平米,南,简装,高楼层(共7层),板楼,63万,108街中高层 采光好两室半一厅纯毛坯按自己需求随意改,https://wh.lianjia.com/ershoufang/104110763362.html,"114.400276,30.622299",141242,0.0,114.400276,30.622299
74,Feature,Point,"[114.392640613, 30.4972748104]",金地中心城,关西长职,3室2厅,116.4平米,南 北,简装,中楼层(共31层),板楼,189万,南北通透  采光充足 视野无遮挡 业主诚心出售,https://wh.lianjia.com/ershoufang/104110680819.html,"114.392658,30.496806",139211,0.000469132673522,114.392640613,30.4972748104
75,Feature,Point,"[114.175384, 30.514778]",金色港湾一期,沌口,4室2厅,126.3平米,南,精装,高楼层(共6层),板楼,139万,金色港湾一期，买一层得两层，还有露台，整体有优势,https://wh.lianjia.com/ershoufang/104110683324.html,"114.175384,30.514778",14658,0.0,114.175384,30.514778
76,Feature,Point,"[114.38277885, 30.5944961991]",福星惠誉东湖城二期,东湖东亭,3室2厅,113.55平米,南,毛坯,低楼层(共31层),板塔结合,225万,东湖边 园林路地铁 福星惠誉东湖城二期 纯毛坯 满两年,https://wh.lianjia.com/ershoufang/104110705135.html,"114.382740,30.594577",133241,8.96552571866e-05,114.38277885,30.5944961991
77,Feature,Point,"[114.529628638, 30.4813618743]",朗诗里程,光谷东,2室2厅,85.54平米,南,精装,中楼层(共27层),板楼,168万,房子满二税少，中高楼层，精装修，采光好户型通风,https://wh.lianjia.com/ershoufang/104110720167.html,"114.518202,30.479449",165424,0.0115856438781,114.529628638,30.4813618743
78,Feature,Point,"[114.522730519, 30.5882205201]",亿达云山湖,光谷东,3室2厅,107.22平米,南,毛坯,高楼层(共11层),板楼,164.8万,毛坯3室2卫的户型 小户型两卫的,https://wh.lianjia.com/ershoufang/104110776741.html,"114.504891,30.558275",165394,0.034856600698,114.522730519,30.5882205201
79,Feature,Point,"[114.518386391, 30.5247301663]",碧桂园生态城左岸,光谷东,3室2厅,104.53平米,南,简装,中楼层(共32层),板楼,142万,地铁口，碧桂园左岸精装三房业主诚心出售,https://wh.lianjia.com/ershoufang/104110712595.html,"114.516065,30.543353",165233,0.0187669600946,114.518386391,30.5247301663
80,Feature,Point,"[114.38589, 30.6083]",花样年花郡,团结大道,3室2厅,93.18平米,南 北,精装,中楼层(共30层),板楼,190万,花样年花郡南北通透三居户型好中间楼层,https://wh.lianjia.com/ershoufang/104110715072.html,"114.385890,30.608300",134408,0.0,114.38589,30.6083
81,Feature,Point,"[114.324192, 30.499068]",南湖名都A区,南湖沃尔玛,3室2厅,93.89平米,南 北,精装,中楼层(共23层),塔楼,189万,此房南北通透，精装一天未住，视野开阔，采光充足。,https://wh.lianjia.com/ershoufang/104110686979.html,"114.324192,30.499068",100435,0.0,114.324192,30.499068
82,Feature,Point,"[114.322240336, 30.4951843512]",保利中央公馆,新南湖,3室2厅,94.88平米,南 北,精装,低楼层(共34层),塔楼,205万,中间楼层，满二，诚心出售，精装中.央空调 带暖气,https://wh.lianjia.com/ershoufang/104110745132.html,"114.322219,30.495080",98580,0.000106510083395,114.322240336,30.4951843512
83,Feature,Point,"[114.336615665, 30.4897594845]",珞珈雅苑,珞狮南路,3室2厅,134.56平米,南 北,简装,低楼层(共32层),板楼,208万,新二环，地铁口，不临街不临高价，价格美丽,https://wh.lianjia.com/ershoufang/104110744198.html,"114.335823,30.488820",107732,0.00122920662553,114.336615665,30.4897594845
84,Feature,Point,"[114.25722, 30.626067]",浩海丰太花园,杨汊湖,3室1厅,148.13平米,南,精装,中楼层(共7层),板楼,148万,浩海丰太花园 大三房 双阳台 采光佳,https://wh.lianjia.com/ershoufang/104110730591.html,"114.257220,30.626067",46175,0.0,114.25722,30.626067
85,Feature,Point,"[114.300465576, 30.6424354952]",鼎盛华城,后湖,3室2厅,87.58平米,南 北,精装,中楼层(共10层),板楼,168万,【贝壳真房源】通透小三房，楼下地铁口，不临街,https://wh.lianjia.com/ershoufang/104110693521.html,"114.300347,30.642771",79209,0.000355842264798,114.300465576,30.6424354952
86,Feature,Point,"[114.290520616, 30.4725851577]",东原启城一期,白沙洲,3室2厅,97.17平米,南,精装,中楼层(共32层),塔楼,163万,店长推荐   正地铁口  满二精装修  高层   价格实惠,https://wh.lianjia.com/ershoufang/104110679616.html,"114.291894,30.468955",71578,0.00388126635763,114.290520616,30.4725851577
87,Feature,Point,"[114.358574701, 30.594724085]",保利城,团结大道,3室2厅,106.79平米,东南,精装,高楼层(共34层),板塔结合,228万,房子楼层好，采光视野佳，前后无遮挡，自主精装修,https://wh.lianjia.com/ershoufang/104110739568.html,"114.358457,30.594967",118803,0.000269928330938,114.358574701,30.594724085
